Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1992","1992","t","14","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1993","1993","t","263156","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1993","1993","t","19","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1994","1994","t","206640","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1994","1994","t","140","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1995","1995","t","278859","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1995","1995","t","35","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1996","1996","t","221526","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1996","1996","t","17","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1997","1997","t","224344","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1997","1997","t","80","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1998","1998","t","184617","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1998","1998","t","49","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1999","1999","t","249620","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1999","1999","t","86","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2000","2000","t","298922.1","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2000","2000","t","25.19","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2001","2001","t","259413","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2001","2001","t","72","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2002","2002","t","295550","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2002","2002","t","126","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2003","2003","t","313812","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2003","2003","t","28","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2004","2004","t","279901","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2004","2004","t","107","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2005","2005","t","202508","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2005","2005","t","78","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2006","2006","t","257241","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2006","2006","t","70","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2007","2007","t","332788","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2007","2007","t","197","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2008","2008","t","403022","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2008","2008","t","1170","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2009","2009","t","377026","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2009","2009","t","173","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2010","2010","t","336015","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2010","2010","t","197","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2011","2011","t","462047","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2011","2011","t","709","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2012","2012","t","390305","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2012","2012","t","98","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2013","2013","t","436585","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2013","2013","t","167","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2014","2014","t","419904.55","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2014","2014","t","908.04","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2015","2015","t","396564.25","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2015","2015","t","1551.43","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2016","2016","t","484789.87","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2016","2016","t","3590.61","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2017","2017","t","527631.51","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2017","2017","t","323.88","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2018","2018","t","434704.02","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2018","2018","t","265.01","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2019","2019","t","391220.3","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2019","2019","t","447.11","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2020","2020","t","371353.93","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2020","2020","t","508.11","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2021","2021","t","427813.23","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2021","2021","t","250.16","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2022","2022","t","584081.9","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2022","2022","t","113.53","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2023","2023","t","416923.29","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2023","2023","t","530.53","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","2024","2024","t","406344.44","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","2024","2024","t","4672.1","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1961","1961","t","192627","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1961","1961","t","171339","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1962","1962","t","222079","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1962","1962","t","187047","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1963","1963","t","181958","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1963","1963","t","197184","A","Official figure",""
